zone_id,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,dew_point_2m_min,dew_point_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration
A02,10.379999999999999,105.15,2026-04-20,33.8,23.9,28.6,88,48,20.0,24.6,0.6,0.4,12.5,22.29,5.08
A02,10.379999999999999,105.15,2026-04-21,33.7,23.8,28.9,82,45,19.6,21.2,0.3,0.3,13.5,23.22,5.71
A02,10.379999999999999,105.15,2026-04-22,34.0,23.8,28.8,89,41,18.8,22.2,0.0,0.0,10.8,23.75,5.68
A02,10.379999999999999,105.15,2026-04-23,34.0,23.5,28.8,95,44,19.8,23.2,0.0,0.0,14.0,25.28,5.9
A02,10.379999999999999,105.15,2026-04-24,33.6,23.0,28.5,94,42,18.8,23.9,0.0,0.0,10.3,25.96,5.68
A02,10.379999999999999,105.15,2026-04-25,33.7,24.8,28.6,96,52,21.9,24.9,0.8,0.6,19.3,22.35,4.98
A02,10.379999999999999,105.15,2026-04-26,34.3,25.3,29.5,94,43,20.0,24.8,0.0,0.0,12.6,24.44,5.59
A02,10.379999999999999,105.15,2026-04-27,34.8,25.5,30.0,97,42,20.0,25.1,0.1,0.0,12.1,24.97,5.9
A02,10.379999999999999,105.15,2026-04-28,34.6,24.4,29.4,96,46,21.0,25.3,0.2,0.0,13.0,24.24,5.59
A02,10.379999999999999,105.15,2026-04-29,34.5,25.6,29.7,92,43,19.9,24.9,0.0,0.0,7.9,25.7,5.71
A02,10.379999999999999,105.15,2026-04-30,34.3,25.6,30.0,89,51,21.0,24.9,0.2,0.1,12.1,24.29,5.8
A02,10.379999999999999,105.15,2026-05-01,35.0,25.7,30.1,91,41,19.7,25.1,0.0,0.0,15.3,24.51,6.12
A02,10.379999999999999,105.15,2026-05-02,33.4,24.5,28.8,94,51,21.9,25.2,8.0,1.5,14.2,23.16,5.09
A02,10.379999999999999,105.15,2026-05-03,33.3,24.9,27.8,98,54,22.7,25.5,4.9,0.4,10.5,17.9,3.83
