zone_id,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,dew_point_2m_min,dew_point_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration
D01,10.51,105.67,2026-04-20,33.4,24.0,28.6,84,51,20.2,23.5,0.1,0.0,14.0,22.08,5.37
D01,10.51,105.67,2026-04-21,32.5,23.5,28.2,86,50,19.9,22.0,0.0,0.0,13.4,20.69,5.17
D01,10.51,105.67,2026-04-22,32.5,23.8,28.4,93,53,21.5,23.7,0.0,0.0,12.3,21.96,5.03
D01,10.51,105.67,2026-04-23,33.5,23.6,28.6,97,49,21.0,23.4,0.0,0.0,11.5,24.21,5.6
D01,10.51,105.67,2026-04-24,33.5,23.8,28.5,94,44,19.2,23.9,0.0,0.0,10.8,26.32,5.76
D01,10.51,105.67,2026-04-25,33.5,25.1,28.8,94,55,22.2,24.8,1.2,0.6,13.3,20.09,4.61
D01,10.51,105.67,2026-04-26,34.0,25.4,29.4,96,46,20.5,24.9,0.0,0.0,13.4,23.16,5.46
D01,10.51,105.67,2026-04-27,34.0,25.9,29.8,96,48,21.1,25.4,0.0,0.0,13.4,24.45,5.83
D01,10.51,105.67,2026-04-28,34.6,24.5,29.8,98,45,20.8,25.2,0.0,0.0,13.2,24.24,5.83
D01,10.51,105.67,2026-04-29,34.2,25.4,29.9,91,47,21.1,25.2,0.0,0.0,11.6,25.16,5.82
D01,10.51,105.67,2026-04-30,34.4,26.1,29.9,92,51,21.4,25.1,0.8,0.3,11.8,24.02,5.73
D01,10.51,105.67,2026-05-01,35.3,26.2,30.4,91,40,19.6,24.6,0.0,0.0,17.4,24.18,6.23
D01,10.51,105.67,2026-05-02,32.4,25.8,28.7,95,59,23.1,25.0,8.1,1.1,15.2,20.47,4.53
D01,10.51,105.67,2026-05-03,33.2,25.4,28.5,97,59,23.4,25.7,1.7,0.0,13.4,20.31,4.42
