zone_id,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,dew_point_2m_min,dew_point_2m_max,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration
F01,10.0,105.72,2026-04-20,33.8,23.7,28.8,79,47,19.4,23.0,0.2,0.2,13.4,23.18,5.7
F01,10.0,105.72,2026-04-21,33.8,23.1,28.3,88,43,19.2,21.4,0.0,0.0,18.4,23.04,5.78
F01,10.0,105.72,2026-04-22,33.3,23.5,28.6,90,49,20.1,22.2,0.0,0.0,12.7,22.83,5.6
F01,10.0,105.72,2026-04-23,34.0,23.6,28.5,94,43,19.2,23.1,0.0,0.0,15.6,23.82,5.78
F01,10.0,105.72,2026-04-24,34.6,24.2,28.9,94,39,18.5,23.7,0.0,0.0,14.0,24.29,5.86
F01,10.0,105.72,2026-04-25,33.7,25.0,29.0,92,51,20.4,25.0,2.4,0.4,14.0,23.01,5.35
F01,10.0,105.72,2026-04-26,35.3,25.6,30.0,95,41,19.4,24.9,0.0,0.0,14.2,24.09,5.93
F01,10.0,105.72,2026-04-27,35.0,25.9,30.1,95,42,20.0,25.3,0.2,0.2,14.6,24.11,6.02
F01,10.0,105.72,2026-04-28,36.0,24.9,30.1,99,38,19.1,25.1,0.0,0.0,16.7,24.87,6.29
F01,10.0,105.72,2026-04-29,35.2,25.7,30.4,92,40,19.4,25.5,0.0,0.0,11.6,25.32,5.91
F01,10.0,105.72,2026-04-30,35.8,25.8,30.4,94,41,20.0,25.2,0.0,0.0,15.7,24.51,6.22
F01,10.0,105.72,2026-05-01,36.0,26.1,30.7,83,35,18.2,25.0,0.0,0.0,17.8,24.15,6.39
F01,10.0,105.72,2026-05-02,35.2,26.2,29.6,90,47,22.2,24.9,3.7,0.6,15.5,22.41,5.23
F01,10.0,105.72,2026-05-03,32.7,26.0,29.0,95,60,23.3,25.5,3.2,0.1,17.9,19.9,4.42
